system,system_label,case,case_index,description,replicate,seed,config,steric,microtubules,mt_mode,actin_mode,division,steps,frames,duration_s,box_x,box_y,box_z,scale_factor,material_scale,actin_total_polymer,actin_max_length,fixed_mt_length,mt_fibers_per_site
large_system,large 24x24x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0003,72503,large_system/05_growing_mt_perinuclear_actin_long/r0003/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0004,72504,large_system/05_growing_mt_perinuclear_actin_long/r0004/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0005,72505,large_system/05_growing_mt_perinuclear_actin_long/r0005/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0001,72601,large_system/06_division_fixed_mt_perinuclear_actin_long/r0001/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0002,72602,large_system/06_division_fixed_mt_perinuclear_actin_long/r0002/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0003,72603,large_system/06_division_fixed_mt_perinuclear_actin_long/r0003/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0004,72604,large_system/06_division_fixed_mt_perinuclear_actin_long/r0004/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0005,72605,large_system/06_division_fixed_mt_perinuclear_actin_long/r0005/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0001,72701,large_system/07_division_growing_mt_perinuclear_actin_long/r0001/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0002,72702,large_system/07_division_growing_mt_perinuclear_actin_long/r0002/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0003,72703,large_system/07_division_growing_mt_perinuclear_actin_long/r0003/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0004,72704,large_system/07_division_growing_mt_perinuclear_actin_long/r0004/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0005,72705,large_system/07_division_growing_mt_perinuclear_actin_long/r0005/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
