case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
07_symmetric_aster_fixed_minus_motors,20,20.0,0.3333333333333333,1,1.3737,nan,0.0168,nan,-0.0455,nan,1.3745559937667144,nan
08_push_filaments_unanchored,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
08_push_filaments_unanchored,1,1.0,0.016666666666666666,1,0.0001,nan,-0.0006,nan,0.0003,nan,0.0006782329983125268,nan
08_push_filaments_unanchored,2,2.0,0.03333333333333333,1,-0.0029,nan,0.0005,nan,-0.0016,nan,0.0033496268448888447,nan
08_push_filaments_unanchored,3,3.0,0.05,1,-0.0046,nan,-0.0019,nan,-0.0024,nan,0.005525395913416522,nan
08_push_filaments_unanchored,4,4.0,0.06666666666666667,1,-0.0042,nan,-0.0041,nan,0.0045,nan,0.0073959448348402375,nan
08_push_filaments_unanchored,5,5.0,0.08333333333333333,1,-0.0007,nan,0.0037,nan,0.0047,nan,0.00602245796996542,nan
08_push_filaments_unanchored,6,6.0,0.1,1,-0.0057,nan,0.0038,nan,0.0052,nan,0.008600581375697807,nan
08_push_filaments_unanchored,7,7.0,0.11666666666666667,1,-0.0023,nan,0.0055,nan,0.0038,nan,0.007069653456853454,nan
08_push_filaments_unanchored,8,8.0,0.13333333333333333,1,-0.0058,nan,0.0067,nan,0.0061,nan,0.010758252646224665,nan
08_push_filaments_unanchored,9,9.0,0.15,1,-0.0038,nan,0.0027,nan,0.0051,nan,0.00690941386804988,nan
08_push_filaments_unanchored,10,10.0,0.16666666666666666,1,-0.0062,nan,0.0002,nan,0.0057,nan,0.00842436941260294,nan
08_push_filaments_unanchored,11,11.0,0.18333333333333332,1,-0.0049,nan,0.0029,nan,0.0094,nan,0.010989995450408522,nan
08_push_filaments_unanchored,12,12.0,0.2,1,-0.0004,nan,0.0038,nan,0.0061,nan,0.0071979163651712435,nan
08_push_filaments_unanchored,13,13.0,0.21666666666666667,1,-0.0007,nan,0.0014,nan,0.0053,nan,0.00552630075185924,nan
08_push_filaments_unanchored,14,14.0,0.23333333333333334,1,-0.0001,nan,0.0062,nan,0.0076,nan,0.009808669634563089,nan
08_push_filaments_unanchored,15,15.0,0.25,1,0.002,nan,0.0113,nan,0.0051,nan,0.012557866060760483,nan
08_push_filaments_unanchored,16,16.0,0.26666666666666666,1,0.0078,nan,0.0151,nan,0.0052,nan,0.017773294573601148,nan
08_push_filaments_unanchored,17,17.0,0.2833333333333333,1,0.0034,nan,0.0153,nan,0.0043,nan,0.016252384440444422,nan
08_push_filaments_unanchored,18,18.0,0.3,1,-0.0022,nan,0.0154,nan,0.0005,nan,0.01556438241627338,nan
08_push_filaments_unanchored,19,19.0,0.31666666666666665,1,-0.0049,nan,0.016,nan,0.0037,nan,0.017137677789012137,nan
08_push_filaments_unanchored,20,20.0,0.3333333333333333,1,-0.0049,nan,0.0173,nan,0.0035,nan,0.018318023910891698,nan
09_push_filaments_fixed_binders,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
09_push_filaments_fixed_binders,1,1.0,0.016666666666666666,1,-0.0048,nan,-0.0038,nan,0.0024,nan,0.006575712889109439,nan
09_push_filaments_fixed_binders,2,2.0,0.03333333333333333,1,-0.003,nan,-0.0048,nan,-0.0004,nan,0.005674504383644443,nan
09_push_filaments_fixed_binders,3,3.0,0.05,1,-0.0049,nan,-0.0047,nan,-0.0024,nan,0.0072013887549555325,nan
09_push_filaments_fixed_binders,4,4.0,0.06666666666666667,1,-0.0013,nan,-0.002,nan,-0.0015,nan,0.0028178005607210743,nan
09_push_filaments_fixed_binders,5,5.0,0.08333333333333333,1,-0.003,nan,-0.0009,nan,0.0065,nan,0.007215261603018978,nan
09_push_filaments_fixed_binders,6,6.0,0.1,1,-0.0042,nan,0.003,nan,0.0056,nan,0.007615773105863908,nan
09_push_filaments_fixed_binders,7,7.0,0.11666666666666667,1,-0.003,nan,-0.0033,nan,0.0008,nan,0.004531004303683677,nan
09_push_filaments_fixed_binders,8,8.0,0.13333333333333333,1,-0.0047,nan,-0.0029,nan,0.0015,nan,0.005722761571129798,nan
09_push_filaments_fixed_binders,9,9.0,0.15,1,-0.0053,nan,-0.0022,nan,-0.0002,nan,0.005741950887982237,nan
