model,group,case,xlink_regime,run_dir,run_path,n_frames_used,threshold_vz_abs,mean_vz_abs,peak_vz_abs,time_to_peak_min,auc_vz_abs,active_transport_fraction,onset_time_min,net_z_displacement,abs_net_z_displacement,early_mean_vz_abs,mid_mean_vz_abs,late_mean_vz_abs
rotatable,mpc12,c10_m12,1:16,r0003,/home/thekaka/project/cytosim/clu/job11/save/r0003,400,0.009608760109627612,0.0028005075622859893,0.015311510031678938,6.9,2.2348622272311145,0.025,nan,0.22967265047518468,0.22967265047518468,0.002741964193034596,0.0028863504048800078,0.0027553948489410507
rotatable,mpc12,c10_m12,1:16,r0006,/home/thekaka/project/cytosim/clu/job11/save/r0006,400,0.009608760109627612,0.0026762152421871766,0.013496143958868778,5.833333333333333,2.1364757908720433,0.025,nan,-0.25308324768756485,0.25308324768756485,0.002971027964850066,0.0027626720869103048,0.0023094118780241754
rotatable,mpc12,c10_m12,1:16,r0009,/home/thekaka/project/cytosim/clu/job11/save/r0009,400,0.009608760109627612,0.002568910917296924,0.012679235262878369,0.5333333333333333,2.0504818936888407,0.0075,nan,-0.6898566117896965,0.6898566117896965,0.002901804090917043,0.0023693370998526036,0.0024950314131431386
rotatable,mpc12,c10_m12,1:16,r0012,/home/thekaka/project/cytosim/clu/job11/save/r0012,400,0.009608760109627612,0.00276468635266385,0.011614476386036826,0.7666666666666667,2.198915406566398,0.0175,nan,0.17967145790554417,0.17967145790554417,0.003228052460325408,0.0025669751009100763,0.002570152924811487
rotatable,mpc12,c10_m12,1:16,r0015,/home/thekaka/project/cytosim/clu/job11/save/r0015,400,0.009608760109627612,0.002670353980888034,0.018545028630921105,3.2,2.1296460165688336,0.02,2.1333333333333333,0.086413326392504,0.086413326392504,0.0033193987436662274,0.0026042687908496716,0.0021564337651258144
rotatable,mpc12,c10_m12,1:16,r0018,/home/thekaka/project/cytosim/clu/job11/save/r0018,400,0.009608760109627612,0.003178803047287655,0.015539532570860382,0.16666666666666666,2.5415506427033216,0.04,0.13333333333333333,-0.5457483838886119,0.5457483838886119,0.00407549029801001,0.0028056715292459787,0.0027915049165265194
rotatable,mpc12,c10_m12,1:16,r0021,/home/thekaka/project/cytosim/clu/job11/save/r0021,400,0.009608760109627612,0.0025000447467278366,0.011891592920354133,0.3333333333333333,1.9949196469397912,0.0075,nan,0.6877765486725659,0.6877765486725659,0.002521567717595437,0.0024262347867331337,0.002565008567078685
rotatable,mpc12,c10_m12,1:16,r0024,/home/thekaka/project/cytosim/clu/job11/save/r0024,400,0.009608760109627612,0.002778795876044741,0.016877909984480053,4.566666666666666,2.20995074095194,0.04,3.433333333333333,-0.8982978163937025,0.8982978163937025,0.004030355959865118,0.0028205719070741866,0.0015940473674261005
rotatable,mpc12,c10_m12,1:16,r0027,/home/thekaka/project/cytosim/clu/job11/save/r0027,400,0.009608760109627612,0.0034481544768091513,0.01652447158931375,9.766666666666667,2.754211049737529,0.06,9.666666666666666,0.015474378488077534,0.015474378488077534,0.0034452955513290516,0.0034565313528302196,0.003441159673213514
rotatable,mpc12,c10_m12,1:16,r0030,/home/thekaka/project/cytosim/clu/job11/save/r0030,400,0.009608760109627612,0.002588730654434484,0.012736344537815053,0.7333333333333333,2.0622246121026944,0.015,nan,-0.39317585301837304,0.39317585301837304,0.002844527690650146,0.0025283906413127335,0.0024254570258741676
rotatable,mpc12,c20_m12,1:4,r0001,/home/thekaka/project/cytosim/clu/job12/save/r0001,400,0.009560635356359143,0.003274158605822215,0.014548692349737817,0.6666666666666666,2.6112036306185207,0.0275,nan,-0.1913386618436404,0.1913386618436404,0.003479220550922054,0.0034489510926745213,0.002887736892122009
rotatable,mpc12,c20_m12,1:4,r0004,/home/thekaka/project/cytosim/clu/job12/save/r0004,400,0.009560635356359143,0.0038555622809611704,0.014361702127659914,7.0,3.066414541175355,0.06,1.0333333333333334,-0.20342743990126078,0.20342743990126078,0.0042286645584763295,0.004089103717961801,0.0032492234521489696
rotatable,mpc12,c20_m12,1:4,r0007,/home/thekaka/project/cytosim/clu/job12/save/r0007,400,0.009560635356359143,0.004265776189770216,0.018449171120902108,3.2333333333333334,3.409414179112222,0.0775,nan,0.5359158542842479,0.5359158542842479,0.004964720465798326,0.004188111972929839,0.003719785836172593
rotatable,mpc12,c20_m12,1:4,r0010,/home/thekaka/project/cytosim/clu/job12/save/r0010,400,0.009560635356359143,0.004013966731982035,0.018022657054582947,5.9,3.206414897414232,0.08,0.26666666666666666,-0.11405767250257554,0.11405767250257554,0.004759386299971558,0.0039041481140008522,0.003462576381649396
rotatable,mpc12,c20_m12,1:4,r0013,/home/thekaka/project/cytosim/clu/job12/save/r0013,400,0.009560635356359143,0.0034163462020590607,0.014516957862281691,9.933333333333334,2.720773927121315,0.04,4.3,-0.11607601438109927,0.11607601438109927,0.003219689757099552,0.003479875408863032,0.0035222449496131515
rotatable,mpc12,c20_m12,1:4,r0016,/home/thekaka/project/cytosim/clu/job12/save/r0016,400,0.009560635356359143,0.004196996566848783,0.021418197081083223,3.3,3.3532583050359435,0.075,3.2666666666666666,1.4259826442062278,1.4259826442062278,0.005133010558740349,0.003774396778307753,0.003830617202314876
rotatable,mpc12,c20_m12,1:4,r0019,/home/thekaka/project/cytosim/clu/job12/save/r0019,400,0.009560635356359143,0.003477315632254083,0.013525694097899693,12.4,2.77240514041298,0.0275,nan,0.10158809734212626,0.10158809734212626,0.003874979110730305,0.003042976072575582,0.003613414716323586
rotatable,mpc12,c20_m12,1:4,r0022,/home/thekaka/project/cytosim/clu/job12/save/r0022,400,0.009560635356359143,0.0040411906911055435,0.018142687788395437,2.7,3.2276608647068397,0.0725,2.6666666666666665,0.1659783169850284,0.1659783169850284,0.004411705672083555,0.003832603547623935,0.003943456254356367
